Frame	X1	Y1	Flag1
Tracks 1 to 1
1	132.97234	26.969503	 
2	135.1618	27.873178	 
3	136.89844	28.290625	 
4	133.30551	26.883448	 
5	133.82732	26.98405	 
6	136.06306	27.728228	 
7	136.0015	27.8125	 
8	137.17792	27.957056	 
9	134.33215	26.977951	 
10	134.30617	27.276798	 
11	134.6025	27.221815	 
12	134.6083	27.278933	 
13	134.80014	27.26956	 
14	134.74965	26.921276	 
15	136.81277	27.826315	 
16	137.76613	28.462904	 
17	134.86723	27.12853	 
18	135.00996	27.44302	 
19	135.29826	27.886168	 
20	135.30142	28.301418	 
21	136.1277	29.440838	 
22	136.33711	30.106232	 
23	136.55702	30.847706	 
24	136.69328	32.069126	 
25	139.25818	40.036366	 
26	137.89795	41.04374	 
27	136.47768	41.65311	 
28	136.41446	44.202953	 
29	140.87837	53.086277	 
30	141.01154	56.902515	 
31	141.00854	61.05983	 
32	141.19247	65.34731	 
33	141.37555	69.84498	 
34	141.53964	74.79515	 
35	141.69737	80.10965	 
36	141.78055	85.60634	 
37	141.94165	91.47483	 
38	141.92361	97.416664	 
39	142.00586	103.88641	 
40	142.13484	110.750595	 
41	142.16907	117.64388	 
42	142.45802	125.035805	 
43	142.49237	132.47964	 
44	142.78316	140.49234	 
45	142.87895	148.69737	 
46	142.83774	157.33377	 
47	143.0	165.95213	 
48	143.12433	175.17297	 
49	143.19836	184.45108	 
50	143.14145	194.16386	 
51	143.36197	204.24367	 
52	143.59169	214.46275	 
53	143.7426	225.14793	 
54	143.66216	235.95045	 
55	143.83234	247.13474	 
56	143.93558	258.6319	 
57	144.23969	270.37936	 
58	144.22348	282.47748	 
59	144.30968	294.71936	 
60	144.20206	307.34247	 
61	144.51399	320.58392	 
62	144.60802	333.7857	 
63	144.66725	347.32578	 
64	144.77017	361.00174	 
65	144.8741	375.18704	 
66	144.92592	389.65927	 
67	145.21376	404.34015	 
68	145.24905	419.37073	 
69	145.34792	434.62927	 
70	145.1077	450.0654	 
71	145.30876	465.8705	 
72	145.54347	482.06522	 
73	145.751	498.334	 
74	145.77467	515.1438	 
75	145.7314	532.0455	 
76	146.10445	549.1711	 
77	145.96808	566.61487	 
78	146.11157	584.2479	 
79	146.18881	601.61536	 
80	146.2489	604.55896	 
81	146.20522	597.91724	 
82	146.2279	592.0907	 
83	146.26047	586.9093	 
84	146.25638	581.80396	 
85	146.23302	577.0574	 
86	146.26018	572.3688	 
87	146.21724	568.24945	 
88	146.38585	564.5525	 
89	146.15218	560.77	 
90	146.31221	557.6516	 
91	146.34616	554.7692	 
92	146.1509	552.00903	 
93	146.18988	549.4551	 
94	146.27324	547.3617	 
95	146.30493	545.3139	 
96	146.41011	543.6955	 
97	146.33112	542.44666	 
98	146.30089	541.57605	 
99	146.2149	540.9408	 
100	146.2851	540.6689	 
101	146.19348	540.65	 
102	146.18251	540.7678	 
103	146.35965	541.4057	 
104	146.29738	542.0904	 
105	146.28761	543.11505	 
106	146.18071	544.3426	 
107	146.26666	545.9378	 
108	146.2373	547.6876	 
109	146.33112	549.98224	 
110	146.19865	552.6786	 
111	146.20068	555.64056	 
112	146.14944	558.80786	 
113	146.09242	562.32404	 
114	146.20428	566.0824	 
115	146.02414	570.0172	 
116	146.08784	574.2838	 
117	146.04073	578.78735	 
118	146.13387	583.5412	 
119	145.94064	588.7374	 
120	146.00337	594.1876	 
121	146.0906	600.2763	 
122	145.89746	606.7727	 
123	145.99144	611.3219	 
124	145.9912	606.93835	 
125	145.92285	604.51	 
126	145.80505	602.4414	 
127	145.93149	600.7863	 
128	145.9332	599.0749	 
129	145.82709	597.6312	 
130	145.88608	596.79956	 
131	145.74066	596.20123	 
132	145.71803	595.95496	 
133	145.7547	595.84863	 
134	145.77744	596.1108	 
135	145.78842	596.75476	 
136	145.5763	597.72266	 
137	145.70041	599.03033	 
138	145.69183	600.6898	 
139	145.60979	602.508	 
140	145.64145	604.74756	 
141	145.6122	607.33856	 
142	145.45126	612.0412	 
143	145.43333	612.79834	 
144	145.42241	611.231	 
145	145.36691	608.7034	 
146	145.3876	607.99805	 
147	145.41714	607.54047	 
148	145.33525	607.2759	 
149	145.35115	607.4256	 
150	145.36064	608.0292	 
151	145.20132	608.9159	 
152	145.21263	612.1877	 
153	145.12541	613.66284	 
154	145.19572	613.4638	 
155	145.12251	612.8394	 
156	145.11803	612.70984	 
157	144.99754	612.49176	 
158	145.08144	612.9023	 
159	145.01593	613.5494	 
160	144.89967	613.85315	 
161	144.92628	613.65063	 
162	144.92949	613.54004	 
163	144.96613	613.8258	 
164	144.892	614.3736	 
165	144.78572	614.40045	 
166	144.81621	614.36194	 
167	144.75	614.5481	 
168	144.78548	614.5661	 
169	144.82962	614.69745	 
170	144.80258	614.534	 
171	144.77734	614.5539	 
172	144.82166	614.50793	 
173	144.81955	614.7687	 
174	144.94373	614.582	 
175	144.89256	614.836	 
176	144.822	614.8139	 
177	144.80794	615.0492	 
178	144.93175	615.14606	 
179	144.81496	615.3252	 
180	144.8307	615.3016	 
181	144.89565	615.45636	 
182	145.0039	615.4609	 
183	145.01863	615.45654	 
184	145.03503	615.25793	 
185	145.08147	615.2268	 
186	145.06439	615.46185	 
187	145.14706	615.33307	 
188	145.21178	615.3328	 
189	145.25641	615.5433	 
190	145.21669	616.00385	 
191	145.24501	616.0561	 
192	145.27725	615.9782	 
193	145.2347	616.10596	 
194	145.35959	616.21295	 
195	145.44409	616.34784	 
196	145.47952	616.026	 
197	145.5284	616.1451	 
198	145.67445	616.21497	 
199	145.59642	616.2543	 
200	145.66588	616.09784	 
201	145.68196	616.5031	 
202	145.7986	616.3787	 
203	145.73358	616.5488	 
204	145.80615	616.5877	 
205	145.87213	616.79865	 
206	145.86867	616.93933	 
207	145.94037	617.0535	 
208	145.85869	616.91925	 
209	146.007	616.94946	 
210	146.14458	616.91266	 
211	146.07982	616.9608	 
212	146.04784	616.7577	 
213	146.18712	616.8451	 
214	146.21008	617.0023	 
215	146.29817	617.198	 
216	146.25308	617.375	 
217	146.40106	617.3539	 
218	146.37958	617.5625	 
219	146.3689	617.60516	 
220	146.58006	617.89575	 
221	146.48166	617.6605	 
222	146.59819	617.8414	 
223	146.62918	617.655	 
224	146.81744	617.83234	 
225	146.6506	617.8434	 
226	146.78485	617.66364	 
227	146.80618	617.862	 
228	146.84187	617.90814	 
229	146.89851	618.0657	 
230	146.95288	617.97266	 
231	146.9314	618.1753	 
232	147.0456	618.36694	 
233	146.94843	618.3924	 
234	147.12122	618.4288	 
235	147.14706	618.5814	 
236	147.23828	618.41376	 
237	147.37724	618.5	 
238	147.45401	618.5727	 
239	147.34592	618.49243	 
240	147.52655	618.7065	 
241	147.60791	618.5912	 
242	147.59038	618.8555	 
243	147.63617	619.0593	 
244	147.69821	618.96497	 
245	147.80678	619.0929	 
246	147.76558	619.12317	 
247	147.82938	619.1855	 
248	147.9009	619.1892	 
249	147.94281	619.34015	 
250	148.178	619.1573	 
251	148.2122	619.34155	 
252	148.25471	619.3157	 
253	148.42549	619.4076	 
254	148.48682	619.49854	 
255	148.58928	619.5327	 
256	 	 	 
257	 	 	 
258	 	 	 
259	 	 	 
260	 	 	 
261	 	 	 
262	 	 	 
263	 	 	 
264	 	 	 
265	 	 	 
266	 	 	 
267	 	 	 
268	 	 	 
269	 	 	 
270	 	 	 
271	 	 	 
272	 	 	 
273	 	 	 
274	 	 	 
275	 	 	 
276	 	 	 
277	 	 	 
278	 	 	 
279	 	 	 
280	 	 	 
281	 	 	 
282	 	 	 
283	 	 	 
284	 	 	 
285	 	 	 
286	 	 	 
287	 	 	 
288	 	 	 
289	 	 	 
290	 	 	 
291	 	 	 
292	 	 	 
293	 	 	 
294	 	 	 
295	 	 	 
296	 	 	 
297	 	 	 
298	 	 	 
299	 	 	 
300	 	 	 
301	 	 	 
302	 	 	 
303	 	 	 
304	 	 	 
305	 	 	 
306	 	 	 
307	 	 	 

Track 	Length	Distance traveled	Nr of Frames
1	801.74365	592.769	255
